Cue table for 1_preshow
Beat	Tag	Note	Track_Time	TC_Time	Section_Break
0.00000			00:00:00.00	00:00:00.00	1
30.00000		Walk-In	00:00:30.00	00:00:30.00	1
60.00000	CUE 00.11.00	Preset	00:01:00.00	00:01:00.00	1
120.00000	CUE 00.12.00	House to Half	00:02:00.00	00:02:00.00	1
180.00000	CUE 00.13.00	Downbeat	00:03:00.00	00:03:00.00	1
240.00000	CUE 00.14.00	Brand New Me	00:04:00.00	00:04:00.00	1
300.00000	CUE 00.15.00	Wish I Could Be Like You	00:05:00.00	00:05:00.00	1
360.00000	CUE 00.16.00	Show The World	00:06:00.00	00:06:00.00	1
420.00000	CUE 00.17.00	BO	00:07:00.00	00:07:00.00	1
480.00000			00:08:00.00	00:08:00.00	1
