Cue table for 2_act1
Beat	Tag	Note	Track_Time	TC_Time	Section_Break
0.00000	CUE 00.19.00	TopOfShow	00:00:00.00	00:00:00.00	1
30.00000	CUE 00.21.00	CC Logo	00:00:30.00	00:00:30.00	1
60.00000	CUE 00.23.00	(RT)	00:01:00.00	00:01:00.00	1
90.00000	CUE 00.24.00	TV Stage	00:01:30.00	00:01:30.00	1
120.00000	CUE 00.25.00	Shimmer (RT)	00:02:00.00	00:02:00.00	1
150.00000	CUE 00.26.00	Key Change	00:02:30.00	00:02:30.00	1
180.00000	CUE 00.26.50	Red Hit	00:03:00.00	00:03:00.00	1
210.00000	CUE 00.27.00	Blocks Chase	00:03:30.00	00:03:30.00	1
225.00000	CUE 00.27.50	Button	00:03:45.00	00:03:45.00	1
240.00000	CUE 00.28.00	Worklight (RT)	00:04:00.00	00:04:00.00	1
270.00000	CUE 00.29.00	Strange Blue(RT)	00:04:30.00	00:04:30.00	1
300.00000	CUE 00.31.00	Brighten (RT)	00:05:00.00	00:05:00.00	1
360.00000	CUE 00.32.00	AC	00:06:00.00	00:06:00.00	1
420.00000	CUE 00.36.00	Trans->Jerry Grey	00:07:00.00	00:07:00.00	1
435.00000	CUE 00.37.00	Jerry Grey Prosc	00:07:15.00	00:07:15.00	1
450.00000	CUE 00.38.00	Jerry Grey Bump Up	00:07:30.00	00:07:30.00	1
480.00000	CUE 00.43.00	Jerry Backstage	00:08:00.00	00:08:00.00	1
510.00000	CUE 00.45.00	Brighten verticals (TBD)	00:08:30.00	00:08:30.00	1
540.00000	CUE 00.46.00	Restore (TBD)	00:09:00.00	00:09:00.00	1
570.00000	CUE 00.47.00	105-AC2	00:09:30.00	00:09:30.00	1
600.00000	CUE 00.52.00	Splash	00:10:00.00	00:10:00.00	1
630.00000	CUE 00.53.00	Restore AC2	00:10:30.00	00:10:30.00	1
690.00000	CUE 00.54.00	106(107)-LAX	00:11:30.00	00:11:30.00	1
750.00000	CUE 00.56.00	Transition to Letters (Flippy)	00:12:30.00	00:12:30.00	1
810.00000	CUE 00.58.00	107-Letters	00:13:30.00	00:13:30.00	1
870.00000	CUE 00.59.00	Teens	00:14:30.00	00:14:30.00	1
930.00000	CUE 00.61.00	Late Teens	00:15:30.00	00:15:30.00	1
990.00000	CUE 00.69.50	Colour	00:16:30.00	00:16:30.00	1
1050.00000	CUE 00.71.00	Show The World	00:17:30.00	00:17:30.00	1
1080.00000	CUE 00.78.00	Shrink to Ch2 only	00:18:00.00	00:18:00.00	1
1110.00000	CUE 00.78.30	White Flash	00:18:30.00	00:18:30.00	1
1140.00000	CUE 00.80.00	BO	00:19:00.00	00:19:00.00	1
1170.00000	CUE 00.81.00	108 - Beach Haven	00:19:30.00	00:19:30.00	1
1230.00000	CUE 00.85.00	Littles->Bunkhouse	00:20:30.00	00:20:30.00	1
1290.00000	CUE 00.86.00	Bunkhouse	00:21:30.00	00:21:30.00	1
1320.00000	CUE 00.87.00	Shrink	00:22:00.00	00:22:00.00	1
1350.00000	CUE 00.87.50	Beach Out "You and I"	00:22:30.00	00:22:30.00	1
1380.00000	CUE 00.89.00	CBC Radio	00:23:00.00	00:23:00.00	1
1440.00000	CUE 00.90.00	Beach Haven	00:24:00.00	00:24:00.00	1
1470.00000	CUE 00.94.00	Minus Green	00:24:30.00	00:24:30.00	1
1500.00000	CUE 00.95.00	Brand New Me	00:25:00.00	00:25:00.00	1
1515.00000	CUE 01.00.00	Button	00:25:15.00	00:25:15.00	1
1545.00000	CUE 01.02.00	Blackout	00:25:45.00	00:25:45.00	1
1560.00000	CUE 01.03.00	Audition	00:26:00.00	00:26:00.00	1
1590.00000	CUE 01.05.00	Red Shift	00:26:30.00	00:26:30.00	1
1620.00000	CUE 01.06.00	OUT	00:27:00.00	00:27:00.00	1
1650.00000		Button	00:27:30.00	00:27:30.00	1
1680.00000		Restore	00:28:00.00	00:28:00.00	1
1710.00000			00:28:30.00	00:28:30.00	1
1770.00000	CUE 01.09.00	John's Cabin - HORIZON MISMATCH?	00:29:30.00	00:29:30.00	1
1830.00000	CUE 01.11.00	Beach Haven Dawn	00:30:30.00	00:30:30.00	1
1890.00000	CUE 01.14.00	LAX Counter	00:31:30.00	00:31:30.00	1
1920.00000	CUE 01.16.00	Transition (Flippy)	00:32:00.00	00:32:00.00	1
1950.00000			00:32:30.00	00:32:30.00	1
2010.00000	CUE 01.18.00	Ramrod	00:33:30.00	00:33:30.00	1
2070.00000	CUE 01.22.00	Panel Split	00:34:30.00	00:34:30.00	1
2130.00000	CUE 01.23.00	Size D Letters - SHOULD TIMING BE 0.8?	00:35:30.00	00:35:30.00	1
2190.00000	CUE 01.26.00	Littles Wedding	00:36:30.00	00:36:30.00	1
2220.00000	CUE 01.26.50	CC Entrance	00:37:00.00	00:37:00.00	1
2250.00000	CUE 01.27.00	Bertie Wedding	00:37:30.00	00:37:30.00	1
2280.00000	CUE 01.29.00	Brightness Fade	00:38:00.00	00:38:00.00	1
2310.00000	CUE 01.31.00	Liberachi	00:38:30.00	00:38:30.00	1
2370.00000	CUE 01.33.00	CC Wedding	00:39:30.00	00:39:30.00	1
2400.00000	CUE 01.36.00	Pre-DB Bright	00:40:00.00	00:40:00.00	1
2430.00000	CUE 01.37.00	Wedding Dance (KF - Colour Shifts in Sliders)	00:40:30.00	00:40:30.00	1
2460.00000	CUE 01.43.00	BLUE Button	00:41:00.00	00:41:00.00	1
2490.00000	CUE 01.44.00	BO	00:41:30.00	00:41:30.00	1
2520.00000	CUE 01.44.50	Radio Transition	00:42:00.00	00:42:00.00	1
2580.00000	CUE 01.45.00	Malibu	00:43:00.00	00:43:00.00	1
2610.00000	CUE 01.50.00	Brighten CYC	00:43:30.00	00:43:30.00	1
2640.00000	CUE 01.51.00	Bedroom	00:44:00.00	00:44:00.00	1
2700.00000	CUE 01.52.00	RESTORE - Malibu	00:45:00.00	00:45:00.00	1
2730.00000	CUE 01.53.00	Bedroom	00:45:30.00	00:45:30.00	1
2760.00000	CUE 01.54.00	Restore	00:46:00.00	00:46:00.00	1
2790.00000	CUE 01.56.00	BO	00:46:30.00	00:46:30.00	1
2820.00000		END ACT1	00:47:00.00	00:47:00.00	1
