CUE_NUMBER,Track,CUE_NAME,Media,Filesets
11,1_preshow,Preset,"100-201-c03-preshowcollage_famous_nonfamous_colour.mov v006,101-300-c03-offdunes.mov v001,101-301-c03-scrim_gradient.mov v001,101-302-c03-scrimedgegrad.mov v002","100-201-preshowcollage_famous_nonfamous_colour,101-300-offdunes,101-301-scrim_gradient,101-302-scrimedgegrad"
12,1_preshow,House to Half,"101-300-c03-offdunes.mov v001,101-301-c03-scrim_gradient.mov v001,101-302-c03-scrimedgegrad.mov v002","101-300-offdunes,101-301-scrim_gradient,101-302-scrimedgegrad"
13,1_preshow,Downbeat,"101-300-c03-offdunes.mov v001,101-301-c03-scrim_gradient.mov v001,101-302-c03-scrimedgegrad.mov v002","101-300-offdunes,101-301-scrim_gradient,101-302-scrimedgegrad"
14,1_preshow,Brand New Me,"101-300-c03-offdunes.mov v001,101-301-c03-scrim_gradient.mov v001,101-302-c03-scrimedgegrad.mov v002","101-300-offdunes,101-301-scrim_gradient,101-302-scrimedgegrad"
15,1_preshow,Wish I Could Be Like You,"101-300-c03-offdunes.mov v001,101-301-c03-scrim_gradient.mov v001,101-302-c03-scrimedgegrad.mov v002","101-300-offdunes,101-301-scrim_gradient,101-302-scrimedgegrad"
16,1_preshow,Show The World,"101-300-c03-offdunes.mov v001,101-302-c03-scrimedgegrad.mov v002,101-311-c03-scrim_gradient_warm.mov v002,101-301-c03-scrim_gradient.mov v001","101-300-offdunes,101-302-scrimedgegrad,101-311-scrim_gradient_warm,101-301-scrim_gradient"
17,1_preshow,BO,,
21,2_act1,CC Logo,"101-115-c03-ccshow_in_lowvp.mov v002,101-300-c03-offdunes.mov v001,090-403-c00-a_white_square_supersoft.png v001","101-115-ccshow_in_lowvp,101-300-offdunes,090-403-a_white_square_supersoft"
23,2_act1,(RT),"101-059-c11-lbox_white_flat.mov v001,101-059-c12-lbox_white_flat.mov v001,101-059-c13-lbox_white_flat.mov v001,101-059-c14-lbox_white_flat.mov v001,101-201-c11-@ceecee_vertportraits.mov v001,101-359-c12-@ceecee_goldvert_1848.mov v001,101-201-c13-@ceecee_vertportraits.mov v002,101-201-c14-@ceecee_vertportraits.mov v001,101-154-c02-globewall_still@ceecee.mov v003,101-063-c11-lbox_orange_slightshade.mov v001,101-063-c12-lbox_orange_slightshade.mov v001,101-063-c13-lbox_orange_slightshade.mov v001,101-063-c14-lbox_orange_slightshade.mov v001","101-059-lbox_white_flat,101-201-@ceecee_vertportraits,101-359-@ceecee_goldvert_1848,101-154-globewall_still@ceecee,101-063-lbox_orange_slightshade"
24,2_act1,TV Stage,"101-059-c11-lbox_white_flat.mov v001,101-059-c12-lbox_white_flat.mov v001,101-059-c13-lbox_white_flat.mov v001,101-059-c14-lbox_white_flat.mov v001,101-201-c11-@ceecee_vertportraits.mov v001,101-359-c12-@ceecee_goldvert_1848.mov v001,101-201-c13-@ceecee_vertportraits.mov v002,101-201-c14-@ceecee_vertportraits.mov v001,101-154-c02-globewall_still@ceecee.mov v003,080-023-c11-blockbyblock_videotransition.mov v004,101-063-c11-lbox_orange_slightshade.mov v001,080-023-c12-blockbyblock_videotransition.mov v004,101-063-c12-lbox_orange_slightshade.mov v001,080-023-c13-blockbyblock_videotransition.mov v004,101-063-c13-lbox_orange_slightshade.mov v001,080-023-c14-blockbyblock_videotransition.mov v004,101-063-c14-lbox_orange_slightshade.mov v001","101-059-lbox_white_flat,101-201-@ceecee_vertportraits,101-359-@ceecee_goldvert_1848,101-154-globewall_still@ceecee,080-023-blockbyblock_videotransition,101-063-lbox_orange_slightshade"
25,2_act1,Shimmer (RT),"101-059-c11-lbox_white_flat.mov v001,101-059-c12-lbox_white_flat.mov v001,101-059-c13-lbox_white_flat.mov v001,101-059-c14-lbox_white_flat.mov v001,101-201-c11-@ceecee_vertportraits.mov v001,101-359-c12-@ceecee_goldvert_1848.mov v001,101-201-c13-@ceecee_vertportraits.mov v002,101-201-c14-@ceecee_vertportraits.mov v001,101-155-c02-globewall_shimmer@ceecee.mov v003,080-023-c11-blockbyblock_videotransition.mov v004,101-063-c11-lbox_orange_slightshade.mov v001,080-023-c12-blockbyblock_videotransition.mov v004,101-063-c12-lbox_orange_slightshade.mov v001,080-023-c13-blockbyblock_videotransition.mov v004,101-063-c13-lbox_orange_slightshade.mov v001,080-023-c14-blockbyblock_videotransition.mov v004,101-063-c14-lbox_orange_slightshade.mov v001","101-059-lbox_white_flat,101-201-@ceecee_vertportraits,101-359-@ceecee_goldvert_1848,101-155-globewall_shimmer@ceecee,080-023-blockbyblock_videotransition,101-063-lbox_orange_slightshade"
26,2_act1,Key Change,"101-059-c11-lbox_white_flat.mov v001,101-059-c12-lbox_white_flat.mov v001,101-059-c13-lbox_white_flat.mov v001,101-059-c14-lbox_white_flat.mov v001,101-201-c11-@ceecee_vertportraits.mov v001,101-359-c12-@ceecee_goldvert_1848.mov v001,101-201-c13-@ceecee_vertportraits.mov v002,101-201-c14-@ceecee_vertportraits.mov v001,101-155-c02-globewall_shimmer@ceecee.mov v003,080-023-c11-blockbyblock_videotransition.mov v004,101-063-c11-lbox_orange_slightshade.mov v001,080-023-c12-blockbyblock_videotransition.mov v004,101-063-c12-lbox_orange_slightshade.mov v001,080-023-c13-blockbyblock_videotransition.mov v004,101-063-c13-lbox_orange_slightshade.mov v001,080-023-c14-blockbyblock_videotransition.mov v004,101-063-c14-lbox_orange_slightshade.mov v001","101-059-lbox_white_flat,101-201-@ceecee_vertportraits,101-359-@ceecee_goldvert_1848,101-155-globewall_shimmer@ceecee,080-023-blockbyblock_videotransition,101-063-lbox_orange_slightshade"
26.5,2_act1,Red Hit,"101-059-c11-lbox_white_flat.mov v001,101-059-c12-lbox_white_flat.mov v001,101-059-c13-lbox_white_flat.mov v001,101-059-c14-lbox_white_flat.mov v001,101-201-c11-@ceecee_vertportraits.mov v001,101-359-c12-@ceecee_goldvert_1848.mov v001,101-201-c13-@ceecee_vertportraits.mov v002,101-201-c14-@ceecee_vertportraits.mov v001,101-155-c02-globewall_shimmer@ceecee.mov v003,080-023-c11-blockbyblock_videotransition.mov v004,101-063-c11-lbox_orange_slightshade.mov v001,080-023-c12-blockbyblock_videotransition.mov v004,101-063-c12-lbox_orange_slightshade.mov v001,080-023-c13-blockbyblock_videotransition.mov v004,101-063-c13-lbox_orange_slightshade.mov v001,080-023-c14-blockbyblock_videotransition.mov v004,101-063-c14-lbox_orange_slightshade.mov v001","101-059-lbox_white_flat,101-201-@ceecee_vertportraits,101-359-@ceecee_goldvert_1848,101-155-globewall_shimmer@ceecee,080-023-blockbyblock_videotransition,101-063-lbox_orange_slightshade"
27,2_act1,Blocks Chase,"101-059-c11-lbox_white_flat.mov v001,101-059-c12-lbox_white_flat.mov v001,101-059-c13-lbox_white_flat.mov v001,101-059-c14-lbox_white_flat.mov v001,101-201-c11-@ceecee_vertportraits.mov v001,101-359-c12-@ceecee_goldvert_1848.mov v001,101-201-c13-@ceecee_vertportraits.mov v002,101-201-c14-@ceecee_vertportraits.mov v001,101-559-c12-scramble@ceecee_goldvert.mov v003,101-155-c02-globewall_shimmer@ceecee.mov v003,080-023-c11-blockbyblock_videotransition.mov v004,101-061-c11-lbox_chase_trackthrough.mov v002,101-063-c11-lbox_orange_slightshade.mov v001,080-023-c12-blockbyblock_videotransition.mov v004,101-061-c12-lbox_chase_trackthrough.mov v002,101-063-c12-lbox_orange_slightshade.mov v001,080-023-c13-blockbyblock_videotransition.mov v004,101-061-c13-lbox_chase_trackthrough.mov v002,101-063-c13-lbox_orange_slightshade.mov v001,080-023-c14-blockbyblock_videotransition.mov v004,101-061-c14-lbox_chase_trackthrough.mov v002,101-063-c14-lbox_orange_slightshade.mov v001","101-059-lbox_white_flat,101-201-@ceecee_vertportraits,101-359-@ceecee_goldvert_1848,101-559-scramble@ceecee_goldvert,101-155-globewall_shimmer@ceecee,080-023-blockbyblock_videotransition,101-061-lbox_chase_trackthrough,101-063-lbox_orange_slightshade"
27.5,2_act1,Button,"101-059-c11-lbox_white_flat.mov v001,101-059-c12-lbox_white_flat.mov v001,101-059-c13-lbox_white_flat.mov v001,101-059-c14-lbox_white_flat.mov v001,101-201-c11-@ceecee_vertportraits.mov v001,101-359-c12-@ceecee_goldvert_1848.mov v001,101-201-c13-@ceecee_vertportraits.mov v002,101-201-c14-@ceecee_vertportraits.mov v001,101-154-c02-globewall_still@ceecee.mov v003,080-023-c11-blockbyblock_videotransition.mov v004,101-063-c11-lbox_orange_slightshade.mov v001,080-023-c12-blockbyblock_videotransition.mov v004,101-063-c12-lbox_orange_slightshade.mov v001,080-023-c13-blockbyblock_videotransition.mov v004,101-063-c13-lbox_orange_slightshade.mov v001,080-023-c14-blockbyblock_videotransition.mov v004,101-063-c14-lbox_orange_slightshade.mov v001","101-059-lbox_white_flat,101-201-@ceecee_vertportraits,101-359-@ceecee_goldvert_1848,101-154-globewall_still@ceecee,080-023-blockbyblock_videotransition,101-063-lbox_orange_slightshade"
28,2_act1,Worklight (RT),"080-024-c11-quickoff_videotransition.mov v003,080-024-c12-quickoff_videotransition.mov v003,080-024-c13-quickoff_videotransition.mov v003,080-024-c14-quickoff_videotransition.mov v003,101-154-c02-globewall_still@ceecee.mov v003,101-062-c11-lbox_white_slightshade.mov v001,101-063-c11-lbox_orange_slightshade.mov v001,101-062-c12-lbox_white_slightshade.mov v001,101-063-c12-lbox_orange_slightshade.mov v001,101-062-c13-lbox_white_slightshade.mov v001,101-063-c13-lbox_orange_slightshade.mov v001,101-062-c14-lbox_white_slightshade.mov v001,101-063-c14-lbox_orange_slightshade.mov v001","080-024-quickoff_videotransition,101-154-globewall_still@ceecee,101-062-lbox_white_slightshade,101-063-lbox_orange_slightshade"
29,2_act1,Strange Blue(RT),"101-063-c11-lbox_orange_slightshade.mov v001,101-063-c12-lbox_orange_slightshade.mov v001,101-063-c13-lbox_orange_slightshade.mov v001,101-063-c14-lbox_orange_slightshade.mov v001,101-154-c02-globewall_still@ceecee.mov v003","101-063-lbox_orange_slightshade,101-154-globewall_still@ceecee"
31,2_act1,Brighten (RT),"101-063-c11-lbox_orange_slightshade.mov v001,101-063-c12-lbox_orange_slightshade.mov v001,101-063-c13-lbox_orange_slightshade.mov v001,101-063-c14-lbox_orange_slightshade.mov v001,101-059-c11-lbox_white_flat.mov v001,101-059-c12-lbox_white_flat.mov v001,101-059-c13-lbox_white_flat.mov v001,101-059-c14-lbox_white_flat.mov v001,101-201-c11-@ceecee_vertportraits.mov v001,101-201-c13-@ceecee_vertportraits.mov v002,101-201-c14-@ceecee_vertportraits.mov v001,101-154-c02-globewall_still@ceecee.mov v003,101-359-c12-@ceecee_goldvert_1848.mov v001","101-063-lbox_orange_slightshade,101-059-lbox_white_flat,101-201-@ceecee_vertportraits,101-154-globewall_still@ceecee,101-359-@ceecee_goldvert_1848"
34,2_act1,AC,"101-063-c11-lbox_orange_slightshade.mov v001,101-063-c12-lbox_orange_slightshade.mov v001,101-063-c13-lbox_orange_slightshade.mov v001,101-063-c14-lbox_orange_slightshade.mov v001,101-059-c11-lbox_white_flat.mov v001,101-059-c12-lbox_white_flat.mov v001,101-059-c13-lbox_white_flat.mov v001,101-059-c14-lbox_white_flat.mov v001,101-201-c11-@ceecee_vertportraits.mov v001,101-201-c13-@ceecee_vertportraits.mov v002,101-201-c14-@ceecee_vertportraits.mov v001,102-202-c04-bh_beachmatte.mov v003,050-105-c04-woodtexture02.mov v001,101-154-c02-globewall_still@ceecee.mov v003,102-211-c02-bh_mem.mov v003,102-010-c00-paintedbeach2_ac.mov v001,102-201-c11-bh_beach.mov v003,102-211-c11-bh_mem.mov v003,080-025-c12-random_bbyb_videotransition.mov v002,101-359-c12-@ceecee_goldvert_1848.mov v001,102-201-c12-bh_beach.mov v003,102-211-c12-bh_mem.mov v003,080-025-c13-random_bbyb_videotransition.mov v002,102-201-c13-bh_beach.mov v001,102-211-c13-bh_mem.mov v003,080-025-c14-random_bbyb_videotransition.mov v002,102-201-c14-bh_beach.mov v001,102-211-c14-bh_mem.mov v003,102-063-c21-ac_fun3.mov v003,102-201-c21-bh_beach.mov v001","101-063-lbox_orange_slightshade,101-059-lbox_white_flat,101-201-@ceecee_vertportraits,102-202-bh_beachmatte,050-105-woodtexture02,101-154-globewall_still@ceecee,102-211-bh_mem,102-010-paintedbeach2_ac,102-201-bh_beach,080-025-random_bbyb_videotransition,101-359-@ceecee_goldvert_1848,102-063-ac_fun3"
36,2_act1,Trans->Jerry Grey,"050-105-c04-woodtexture02.mov v001,102-010-c00-paintedbeach2_ac.mov v001,105-101-c12-littles_vertical_umbrellas_stars.mov v001,102-063-c21-ac_fun3.mov v003","050-105-woodtexture02,102-010-paintedbeach2_ac,105-101-littles_vertical_umbrellas_stars,102-063-ac_fun3"
37,2_act1,Jerry Grey Prosc,"050-105-c04-woodtexture02.mov v001,102-010-c00-paintedbeach2_ac.mov v001,103-113-c11-squareprosc_vaud_sot_bway.mov v001,103-251-c13-dressingroom_ombres.mov v002,103-113-c12-squareprosc_vaud_sot_bway.mov v001,103-251-c14-dressingroom_ombres.mov v002,103-113-c21-squareprosc_vaud_sot_bway.mov v001,103-251-c22-dressingroom_ombres.mov v002","050-105-woodtexture02,102-010-paintedbeach2_ac,103-113-squareprosc_vaud_sot_bway,103-251-dressingroom_ombres"
38,2_act1,Jerry Grey Bump Up,"103-401-c00-jg_amusement_vintage.mov v002,103-601-c02-jg_frame.mov v003,050-017-c02-papertexture7.mov v001,103-600-c02-jg_backdrop.mov v002,103-113-c11-squareprosc_vaud_sot_bway.mov v001,103-251-c13-dressingroom_ombres.mov v002,103-113-c12-squareprosc_vaud_sot_bway.mov v001,103-251-c14-dressingroom_ombres.mov v002,103-113-c21-squareprosc_vaud_sot_bway.mov v001,103-251-c22-dressingroom_ombres.mov v002","103-401-jg_amusement_vintage,103-601-jg_frame,050-017-papertexture7,103-600-jg_backdrop,103-113-squareprosc_vaud_sot_bway,103-251-dressingroom_ombres"
