Name,Channels,Media
000-001-grids,C03,000-001-c03-grids.mov v0010
000-011-guides,"C02,C04,C11,C12,C13,C14,C21,C22","000-011-c02-guides.mov v004,000-011-c04-guides.png v002,000-011-c11-guides.mov v001,000-011-c12-guides.mov v001,000-011-c13-guides.mov v001,000-011-c14-guides.mov v001,000-011-c21-guides.mov v002,000-011-c22-guides.mov v002"
000-021-grids_and_guides,"C01,C11,C12,C13,C14,C21,C22","000-021-c01-grids_and_guides.mov v002,000-021-c11-grids_and_guides.mov v001,000-021-c12-grids_and_guides.mov v001,000-021-c13-grids_and_guides.mov v001,000-021-c14-grids_and_guides.mov v001,000-021-c21-grids_and_guides.mov v002,000-021-c22-grids_and_guides.mov v002"
000-043-horizontal_colorbars_wbg,C01,000-043-c01-horizontal_colorbars_wbg.mov v003
040-101-main,C02,040-101-c02-main.mov v002
050-011-papertexture1,C02,050-011-c02-papertexture1.mov v001
050-013-papertexture3,"C01,C13,C21,C22","050-013-c01-papertexture3.mov v001,050-013-c13-papertexture3.mov v001,050-013-c21-papertexture3.mov v001,050-013-c22-papertexture3.mov v001"
050-014-papertexture4,"C01,C11,C12,C13,C14","050-014-c01-papertexture4.mov v001,050-014-c11-papertexture4.mov v001,050-014-c12-papertexture4.mov v001,050-014-c13-papertexture4.mov v001,050-014-c14-papertexture4.mov v001"
050-017-papertexture7,C02,050-017-c02-papertexture7.mov v001
050-020-papertexture10,"C02,C13","050-020-c02-papertexture10.mov v001,050-020-c13-papertexture10.mov v001"
050-023-papertexture13,"C02,C11,C12,C13,C14,C21","050-023-c02-papertexture13.mov v001,050-023-c11-papertexture13.mov v001,050-023-c12-papertexture13.mov v001,050-023-c13-papertexture13.mov v001,050-023-c14-papertexture13.mov v001,050-023-c21-papertexture13.mov v001"
050-024-papertexture14,"C21,C22","050-024-c21-papertexture14.mov v001,050-024-c22-papertexture14.mov v001"
050-105-woodtexture02,"C02,C04","050-105-c02-woodtexture02.mov v003,050-105-c04-woodtexture02.mov v001"
050-106-woodtexture03,C02,050-106-c02-woodtexture03.mov v001
070-011-tightvign,C13,070-011-c13-tightvign.mov v002
070-012-softvign,"C11,C13,C22","070-012-c11-softvign.mov v002,070-012-c13-softvign.mov v002,070-012-c22-softvign.mov v002"
080-012-wipe_down,"C11,C12,C13","080-012-c11-wipe_down.mov v003,080-012-c12-wipe_down.mov v003,080-012-c13-wipe_down.mov v003"
080-013-wipe_lr,"C13,C21,C22","080-013-c13-wipe_lr.mov v001,080-013-c21-wipe_lr.mov v001,080-013-c22-wipe_lr.mov v001"
080-016-wipeout_barndoor_soft,C22,080-016-c22-wipeout_barndoor_soft.mov v002
080-023-blockbyblock_videotransition,"C11,C12,C13,C14","080-023-c11-blockbyblock_videotransition.mov v004,080-023-c12-blockbyblock_videotransition.mov v004,080-023-c13-blockbyblock_videotransition.mov v004,080-023-c14-blockbyblock_videotransition.mov v004"
080-024-quickoff_videotransition,"C11,C12,C13,C14","080-024-c11-quickoff_videotransition.mov v003,080-024-c12-quickoff_videotransition.mov v003,080-024-c13-quickoff_videotransition.mov v003,080-024-c14-quickoff_videotransition.mov v003"
080-025-random_bbyb_videotransition,"C12,C13,C14","080-025-c12-random_bbyb_videotransition.mov v002,080-025-c13-random_bbyb_videotransition.mov v002,080-025-c14-random_bbyb_videotransition.mov v002"
090-001-white_square_hard,C00,090-001-c00-white_square_hard.png v001
090-051-black_square_hard,C00,090-051-c00-black_square_hard.png v001
090-403-a_white_square_supersoft,C00,090-403-c00-a_white_square_supersoft.png v001
090-452-a_black_square_soft,C00,090-452-c00-a_black_square_soft.png v001
090-454-a_black_square_medsoft,C00,090-454-c00-a_black_square_medsoft.png v001
090-503-a_white_round_supersoft,C00,090-503-c00-a_white_round_supersoft.png v001
090-602-a_white320_square_soft,C00,090-602-c00-a_white320_square_soft.png v001
090-603-a_white320_square_supersoft,C00,090-603-c00-a_white320_square_supersoft.png v001
090-604-a_white320_square_medsoft,C00,090-604-c00-a_white320_square_medsoft.png v001
090-653-a_black320_square_supersoft,C00,090-653-c00-a_black320_square_supersoft.png v001
090-654-a_black320_square_medsoft,C00,090-654-c00-a_black320_square_medsoft.png v001
100-201-preshowcollage_famous_nonfamous_colour,C03,100-201-c03-preshowcollage_famous_nonfamous_colour.mov v006
101-059-lbox_white_flat,"C11,C12,C13,C14","101-059-c11-lbox_white_flat.mov v001,101-059-c12-lbox_white_flat.mov v001,101-059-c13-lbox_white_flat.mov v001,101-059-c14-lbox_white_flat.mov v001"
101-061-lbox_chase_trackthrough,"C11,C12,C13,C14","101-061-c11-lbox_chase_trackthrough.mov v002,101-061-c12-lbox_chase_trackthrough.mov v002,101-061-c13-lbox_chase_trackthrough.mov v002,101-061-c14-lbox_chase_trackthrough.mov v002"
101-062-lbox_white_slightshade,"C11,C12,C13,C14","101-062-c11-lbox_white_slightshade.mov v001,101-062-c12-lbox_white_slightshade.mov v001,101-062-c13-lbox_white_slightshade.mov v001,101-062-c14-lbox_white_slightshade.mov v001"
101-063-lbox_orange_slightshade,"C11,C12,C13,C14","101-063-c11-lbox_orange_slightshade.mov v001,101-063-c12-lbox_orange_slightshade.mov v001,101-063-c13-lbox_orange_slightshade.mov v001,101-063-c14-lbox_orange_slightshade.mov v001"
101-113-ccshow_in_big2smol,C03,101-113-c03-ccshow_in_big2smol.mov v002
101-115-ccshow_in_lowvp,C03,101-115-c03-ccshow_in_lowvp.mov v002
101-154-globewall_still@ceecee,C02,101-154-c02-globewall_still@ceecee.mov v003
101-155-globewall_shimmer@ceecee,C02,101-155-c02-globewall_shimmer@ceecee.mov v003
101-160-ceecee_headshots@ceecee,C00,101-160-c00-ceecee_headshots@ceecee.mov v001
101-201-@ceecee_vertportraits,"C11,C13,C14","101-201-c11-@ceecee_vertportraits.mov v001,101-201-c13-@ceecee_vertportraits.mov v002,101-201-c14-@ceecee_vertportraits.mov v001"
101-300-offdunes,C03,101-300-c03-offdunes.mov v001
101-301-scrim_gradient,C03,101-301-c03-scrim_gradient.mov v001
101-302-scrimedgegrad,C03,101-302-c03-scrimedgegrad.mov v002
101-311-scrim_gradient_warm,C03,101-311-c03-scrim_gradient_warm.mov v002
101-359-@ceecee_goldvert_1848,C12,101-359-c12-@ceecee_goldvert_1848.mov v001
101-559-scramble@ceecee_goldvert,C12,101-559-c12-scramble@ceecee_goldvert.mov v003
102-010-paintedbeach2_ac,"C00,C01,C02","102-010-c00-paintedbeach2_ac.mov v001,102-010-c01-paintedbeach2_ac.mov v002,102-010-c02-paintedbeach2_ac.mov v002"
102-013-paintedbeach2_ac_deyellow,C00,102-013-c00-paintedbeach2_ac_deyellow.mov v002
102-015-paintedbeach1_ac,"C00,C02","102-015-c00-paintedbeach1_ac.mov v002,102-015-c02-paintedbeach1_ac.mov v002"
102-016-paintedbeach3_ac,C00,102-016-c00-paintedbeach3_ac.mov v001
102-063-ac_fun3,C21,102-063-c21-ac_fun3.mov v003
102-081-ac_collagetransition_flippy,"C21,C22","102-081-c21-ac_collagetransition_flippy.mov v008,102-081-c22-ac_collagetransition_flippy.mov v007"
102-201-bh_beach,"C11,C12,C13,C14,C21","102-201-c11-bh_beach.mov v003,102-201-c12-bh_beach.mov v003,102-201-c13-bh_beach.mov v001,102-201-c14-bh_beach.mov v001,102-201-c21-bh_beach.mov v001"
102-202-bh_beachmatte,C04,102-202-c04-bh_beachmatte.mov v003
102-211-bh_mem,"C02,C11,C12,C13,C14","102-211-c02-bh_mem.mov v003,102-211-c11-bh_mem.mov v003,102-211-c12-bh_mem.mov v003,102-211-c13-bh_mem.mov v003,102-211-c14-bh_mem.mov v003"
103-096-squareprosc_vaud_scallopslowernarrower,C02,103-096-c02-squareprosc_vaud_scallopslowernarrower.mov v001
103-113-squareprosc_vaud_sot_bway,"C11,C12,C21","103-113-c11-squareprosc_vaud_sot_bway.mov v001,103-113-c12-squareprosc_vaud_sot_bway.mov v001,103-113-c21-squareprosc_vaud_sot_bway.mov v001"
103-202-dressingroom_pattern_morered,"C13,C14","103-202-c13-dressingroom_pattern_morered.mov v001,103-202-c14-dressingroom_pattern_morered.mov v004"
103-203-dressingroom_pattern_distressed1,C22,103-203-c22-dressingroom_pattern_distressed1.mov v002
103-223-stagedoor_arrow_morered,C02,103-223-c02-stagedoor_arrow_morered.mov v001
103-251-dressingroom_ombres,"C13,C14,C22","103-251-c13-dressingroom_ombres.mov v002,103-251-c14-dressingroom_ombres.mov v002,103-251-c22-dressingroom_ombres.mov v002"
103-401-jg_amusement_vintage,C00,103-401-c00-jg_amusement_vintage.mov v002
103-600-jg_backdrop,C02,103-600-c02-jg_backdrop.mov v002
103-601-jg_frame,C02,103-601-c02-jg_frame.mov v003
