Name
000-001-c03-grids.mov v0010
000-011-c02-guides.mov v004
000-011-c04-guides.png v002
000-011-c11-guides.mov v001
000-011-c12-guides.mov v001
000-011-c13-guides.mov v001
000-011-c14-guides.mov v001
000-011-c21-guides.mov v002
000-011-c22-guides.mov v002
000-021-c01-grids_and_guides.mov v002
000-021-c11-grids_and_guides.mov v001
000-021-c12-grids_and_guides.mov v001
000-021-c13-grids_and_guides.mov v001
000-021-c14-grids_and_guides.mov v001
000-021-c21-grids_and_guides.mov v002
000-021-c22-grids_and_guides.mov v002
000-043-c01-horizontal_colorbars_wbg.mov v003
040-101-c02-main.mov v002
050-011-c02-papertexture1.mov v001
050-013-c01-papertexture3.mov v001
050-013-c13-papertexture3.mov v001
050-013-c21-papertexture3.mov v001
050-013-c22-papertexture3.mov v001
050-014-c01-papertexture4.mov v001
050-014-c11-papertexture4.mov v001
050-014-c12-papertexture4.mov v001
050-014-c13-papertexture4.mov v001
050-014-c14-papertexture4.mov v001
050-017-c02-papertexture7.mov v001
050-020-c02-papertexture10.mov v001
050-020-c13-papertexture10.mov v001
050-023-c02-papertexture13.mov v001
050-023-c11-papertexture13.mov v001
050-023-c12-papertexture13.mov v001
050-023-c13-papertexture13.mov v001
050-023-c14-papertexture13.mov v001
050-023-c21-papertexture13.mov v001
050-024-c21-papertexture14.mov v001
050-024-c22-papertexture14.mov v001
050-105-c02-woodtexture02.mov v003
050-105-c04-woodtexture02.mov v001
050-106-c02-woodtexture03.mov v001
070-011-c13-tightvign.mov v002
070-012-c11-softvign.mov v002
070-012-c13-softvign.mov v002
070-012-c22-softvign.mov v002
080-012-c11-wipe_down.mov v003
080-012-c12-wipe_down.mov v003
080-012-c13-wipe_down.mov v003
080-013-c13-wipe_lr.mov v001
080-013-c21-wipe_lr.mov v001
080-013-c22-wipe_lr.mov v001
080-016-c22-wipeout_barndoor_soft.mov v002
080-023-c11-blockbyblock_videotransition.mov v004
080-023-c12-blockbyblock_videotransition.mov v004
080-023-c13-blockbyblock_videotransition.mov v004
080-023-c14-blockbyblock_videotransition.mov v004
080-024-c11-quickoff_videotransition.mov v003
080-024-c12-quickoff_videotransition.mov v003
080-024-c13-quickoff_videotransition.mov v003
080-024-c14-quickoff_videotransition.mov v003
080-025-c12-random_bbyb_videotransition.mov v002
080-025-c13-random_bbyb_videotransition.mov v002
080-025-c14-random_bbyb_videotransition.mov v002
090-001-c00-white_square_hard.png v001
090-051-c00-black_square_hard.png v001
090-403-c00-a_white_square_supersoft.png v001
090-452-c00-a_black_square_soft.png v001
090-454-c00-a_black_square_medsoft.png v001
090-503-c00-a_white_round_supersoft.png v001
090-602-c00-a_white320_square_soft.png v001
090-603-c00-a_white320_square_supersoft.png v001
090-604-c00-a_white320_square_medsoft.png v001
090-653-c00-a_black320_square_supersoft.png v001
090-654-c00-a_black320_square_medsoft.png v001
100-201-c03-preshowcollage_famous_nonfamous_colour.mov v006
101-059-c11-lbox_white_flat.mov v001
101-059-c12-lbox_white_flat.mov v001
101-059-c13-lbox_white_flat.mov v001
101-059-c14-lbox_white_flat.mov v001
